Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R22,1k0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-20.9804,-3.3528,0.0,top
R23,1k0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-19.6088,16.9164,0.0,top
R24,1k0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-19.3896,37.338,0.0,top
R25,1k0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-19.6088,57.8104,0.0,top
R26,3k3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-86.1568,54.6221,90.0,top
R27,4k7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-83.566,46.3804,180.0,top
R28,1k0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1.1956,58.3692,-90.0,top
R29,1k0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-2.7668,58.3692,-90.0,top
R30,1k0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3.170083,58.3692,-90.0,top
R31,1k0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-0.7856,58.3692,-90.0,top
R32,680,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,-116.84,45.8724,90.0,top
R33,680,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,-118.4656,45.8724,90.0,top
R34,680,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,-120.0912,45.8724,90.0,top
R35,680,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,-121.7168,45.8724,90.0,top
R36,680,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,-123.3424,45.8724,90.0,top
R37,680,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,-124.9172,45.8724,90.0,top
R38,4k7,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,-128.4732,30.226,-135.0,top
R39,4k7,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,-127.542704,29.327696,-135.0,top
R40,4k7,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,-126.6444,28.448,-135.0,top
R41,1k0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-49.8348,-3.6068,-90.0,top
R42,1k0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-51.816,-3.6068,-90.0,top
R43,10k0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-22.4282,11.3284,180.0,top
R44,10k0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-24.7142,31.6484,180.0,top
R45,10k0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-21.5138,52.07,0.0,top
R46,10k0,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-25.4,57.8358,180.0,top
R101,150,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,-0.6604,-15.6972,0.0,top
R102,240,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,-0.6604,-16.764,180.0,top
R201,15R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-131.826,-6.2992,0.0,top
R202,15R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-131.826,-4.318,0.0,top
R209,FerriteBead_Small,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-146.4564,-4.5212,0.0,top
R300,2k0,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,-135.3572,35.5092,0.0,top
RA202,R_Pack04,R_Array_Convex_4x0612,-144.7688,19.812,90.0,top
VR100,AP1117-ADJ,TO-252-2,-4.7358,-11.685,180.0,top
